Column Name,Data Value
College Name,Madras Christian College (MCC)
Type,Autonomous College (Affiliated to University of Madras)
About,"Established in 1837, MCC is one of India’s oldest higher education institutions known for academic excellence, research, and holistic development."
Established,1837
Location,"Tambaram East, Chennai – 600059, Tamil Nadu, India"
Accreditation,NAAC A++ (Reaccredited)
RANKING & REPUTATION,Ranked among Top Arts & Science Colleges in India; Autonomous Status; Strong Academic & Research Output.
PLACEMENT DATA,"Placement Percentage: 75–85%, Average Package: ₹3.5 – 5 LPA, Top Recruiters: TCS, Infosys, Wipro, Cognizant, HCL"
STUDENT CLUBS,"Literary Clubs, Science Forum, NSS, NCC, Rotaract, Cultural Committee, Eco Club, Entrepreneurship Cell"
Courses Offered,"B.A, B.Com, B.Sc, B.S.W, B.B.A, B.C.A, M.A, M.Com, M.S.W, M.Sc, M.C.A, Ph.D."
Hostel Available,Yes (Separate for Boys & Girls)
Average Package,₹3.5 – 5 LPA
Admission Mode,UG: Merit-Based; PG & Ph.D: Entrance + Interview
Popular Courses,"B.Sc Computer Science, B.C.A, B.Com, M.Sc Chemistry, M.C.A"
Course,Course (split) batch,Duration,Stream,Specialization,Annual Fees (₹)
B.B.A Business Administration [Self-Financed],UG,3 Years,Management,Business Administration,"70,000"
"B.Sc Geography, Tourism & Travel [Self-Financed]",UG,3 Years,Science,"Geography, Tourism & Travel","60,000"
B.Sc Hospitality & Tourism [Self-Financed],UG,3 Years,Science,Hospitality & Tourism,"75,000"
B.Sc Mathematics [Self-Financed],UG,3 Years,Science,Mathematics,"50,000"
B.Sc Physics [Self-Financed],UG,3 Years,Science,Physics,"55,000"
B.Sc Microbiology [Self-Financed],UG,3 Years,Science,Microbiology,"70,000"
B.C.A Computer Application [Self-Financed],UG,3 Years,Computer,Computer Application,"85,000"
B.Sc Computer Science [Self-Financed],UG,3 Years,Computer,Computer Science,"80,000"
B.Sc Visual Communication [Self-Financed],UG,3 Years,Media,Visual Communication,"75,000"
B.Sc Physical Education [Self-Financed],UG,3 Years,Sports,Physical Education,"50,000"
B.Sc Psychology [Self-Financed],UG,3 Years,Science,Psychology,"60,000"
M.S.W HRM [Self-Financed],PG,2 Years,Social Work,HRM,"75,000"
M.Com Computer Oriented Business App [Self-Financed],PG,2 Years,Commerce,Computer Oriented Business Application,"70,000"
M.A Communication [Self-Financed],PG,2 Years,Media,Communication,"65,000"
M.Sc Chemistry [Self-Financed],PG,2 Years,Science,Chemistry,"75,000"
M.Sc Applied Microbiology [Self-Financed],PG,2 Years,Science,Applied Microbiology,"85,000"
M.C.A Computer Application [Self-Financed],PG,2 Years,Computer,Computer Application,"1,00,000"
M.Sc Data Science [Self-Financed],PG,2 Years,Computer,Data Science,"1,10,000"
Ph.D Microbiology (Full-Time) [Self-Financed],Ph.D,3–5 Years,Research,Microbiology (Full-Time),"60,000"
Ph.D Commerce (Part-Time) [Self-Financed],Ph.D,3–5 Years,Research,Commerce (Part-Time),"50,000"
Ph.D Social Work (Part-Time) [Self-Financed],Ph.D,3–5 Years,Research,Social Work (Part-Time),"50,000"
